"Statistic Label","Quarter","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Persons aged 15-89 years in Employment","2022Q4","Female","Industry (B to E)","Thousand","96.7"
"Persons aged 15-89 years in Employment","2022Q4","Female","Industry and Construction (B to F)","Thousand","113.6"
"Persons aged 15-89 years in Employment","2022Q4","Female","Services (G to U)","Thousand","1071.3"
"Persons aged 15-89 years in Employment","2022Q4","Female","Financial, insurance and real estate activities (K,L)","Thousand","63.1"
"Persons aged 15-89 years in Employment","2022Q4","Female","Other NACE activities (R to U)","Thousand","75.1"
"Persons aged 15-89 years in Employment","2022Q4","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","All NACE economic sectors","Thousand","1567.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Agriculture, forestry and fishing (A)","Thousand","136"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Construction (F)","Thousand","104.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","222.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Transportation and storage (H)","Thousand","65.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Accommodation and food service activities (I)","Thousand","103.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Information and communication (J)","Thousand","62.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Professional, scientific and technical activities (M)","Thousand","71.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Administrative and support service activities (N)","Thousand","49.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","68.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Education (P)","Thousand","92.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Human health and social work activities (Q)","Thousand","123.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Industry (B to E)","Thousand","317.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","62.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Other NACE activities (R to U)","Thousand","78.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Both sexes","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","All NACE economic sectors","Thousand","943.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Agriculture, forestry and fishing (A)","Thousand","118.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Construction (F)","Thousand","101.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","119.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Transportation and storage (H)","Thousand","53.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Accommodation and food service activities (I)","Thousand","46.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Information and communication (J)","Thousand","39.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Professional, scientific and technical activities (M)","Thousand","44.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Administrative and support service activities (N)","Thousand","24.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Public administration and defence, compulsory social security (O)","Thousand","43.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Education (P)","Thousand","32.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Human health and social work activities (Q)","Thousand","29.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Industry (B to E)","Thousand","222.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Financial, insurance and real estate activities (K,L)","Thousand","27.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Other NACE activities (R to U)","Thousand","36.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","All NACE economic sectors","Thousand","624.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Agriculture, forestry and fishing (A)","Thousand","17.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Construction (F)","Thousand","2.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","103"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Transportation and storage (H)","Thousand","12.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Accommodation and food service activities (I)","Thousand","57"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Information and communication (J)","Thousand","23"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Professional, scientific and technical activities (M)","Thousand","27.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Administrative and support service activities (N)","Thousand","24.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Public administration and defence, compulsory social security (O)","Thousand","24.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Education (P)","Thousand","59.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Human health and social work activities (Q)","Thousand","93.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Industry (B to E)","Thousand","95"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Financial, insurance and real estate activities (K,L)","Thousand","35.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Other NACE activities (R to U)","Thousand","42.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q1","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","All NACE economic sectors","Thousand","1580.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Agriculture, forestry and fishing (A)","Thousand","136.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Construction (F)","Thousand","105.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","224.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Transportation and storage (H)","Thousand","66.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Accommodation and food service activities (I)","Thousand","105"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Information and communication (J)","Thousand","64.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Professional, scientific and technical activities (M)","Thousand","72.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Administrative and support service activities (N)","Thousand","51"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","66.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Education (P)","Thousand","93.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Human health and social work activities (Q)","Thousand","123.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Industry (B to E)","Thousand","321"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","63.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Other NACE activities (R to U)","Thousand","79.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Both sexes","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Male","All NACE economic sectors","Thousand","953"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Male","Agriculture, forestry and fishing (A)","Thousand","119.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Male","Construction (F)","Thousand","102.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","120.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Male","Transportation and storage (H)","Thousand","53.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Male","Accommodation and food service activities (I)","Thousand","47"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Male","Information and communication (J)","Thousand","40.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Male","Professional, scientific and technical activities (M)","Thousand","44.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","1998Q2","Male","Administrative and support service activities (N)","Thousand","24.8"
